,scoped_accuracy_best_in_game,self_healing,self_healing_most_in_game,enemies_slept,nano_boost_assists,unscoped_accuracy_best_in_game,enemies_slept_most_in_game,nano_boost_assists_most_in_game,biotic_grenade_kills,damage_amplified,damage_amplified_most_in_game,healing_amplified,healing_amplified_most_in_game,self_healing_avg_per_10_min,damage_amplified_avg_per_10_min,scoped_accuracy,healing_amplified_avg_per_10_min,biotic_grenade_kills_avg_per_10_min,unscoped_accuracy,nano_boost_assists_avg_per_10_min,enemies_slept_avg_per_10_min,melee_final_blows_avg_per_10_min,objective_time_avg_per_10_min,all_damage_done_avg_per_10_min,final_blows_avg_per_10_min,eliminations_per_life,objective_kills_avg_per_10_min,obj_contest_time_avg_per_10_min,solo_kills_avg_per_10_min,deaths_avg_per_10_min,hero_damage_done_avg_per_10_min,healing_done_avg_per_10_min,eliminations_avg_per_10_min,assists_avg_per_10_min,rank,biotic_grenade_kill,nano_boost_assist,nano_boost_assist_most_in_game,enemy_slept,enemy_slept_most_in_game,elimination_per_life
126,44.0,411.0,411.0,4.0,3.0,40,4.0,3.0,8.0,393.0,393.0,197.0,197.0,444.0,424.0,44.0,213.0,8.64,40,3.24,4.32,,115.0,2693,3.24,5.5,3.24,16.0,,2.16,1568.0,9136,11.88,27.0,silver,,,,,,
127,100.0,11716.0,542.0,242.0,132.0,72,13.0,10.0,280.0,20999.0,1100.0,16370.0,856.0,229.0,411.0,55.0,320.0,5.48,47,2.58,4.74,0.12,68.0,3264,1.9,1.91,4.44,26.0,0.29,5.5,2604.0,8309,10.53,15.39,silver,,,,,,
128,79.0,2340.0,516.0,32.0,23.0,78,8.0,8.0,32.0,,,3176.0,851.0,313.0,,60.0,425.0,4.28,50,3.08,4.28,,46.0,3466,2.14,1.17,3.35,,0.13,7.09,2108.0,5843,8.3,,silver,,,,,,
129,81.0,1726.0,457.0,37.0,13.0,61,11.0,4.0,27.0,2829.0,603.0,3875.0,915.0,236.0,387.0,59.0,530.0,3.69,54,1.78,5.06,,80.0,2368,1.23,1.4,3.14,19.0,0.14,6.42,1931.0,8932,9.02,12.71,silver,,,,,,
130,76.0,3726.0,777.0,58.0,37.0,67,9.0,7.0,76.0,4765.0,822.0,4715.0,1337.0,330.0,421.0,69.0,417.0,6.72,58,3.27,5.13,0.18,70.0,3459,2.83,2.9,5.22,19.0,0.09,4.51,2914.0,9008,13.09,17.51,silver,,,,,,
131,73.0,2564.0,950.0,28.0,10.0,73,12.0,3.0,18.0,1168.0,267.0,1486.0,368.0,552.0,252.0,60.0,320.0,3.88,53,2.15,6.03,0.22,108.0,3293,1.72,1.37,3.45,37.0,0.43,7.54,2463.0,7806,10.34,13.36,silver,,,,,,
132,63.0,2193.0,939.0,35.0,32.0,63,9.0,10.0,40.0,2857.0,643.0,2257.0,573.0,320.0,417.0,54.0,329.0,5.83,54,4.67,5.1,0.44,61.0,2714,3.06,2.03,4.52,13.0,,4.67,2163.0,7381,9.48,17.06,silver,,,,,,
133,80.0,2266.0,686.0,33.0,11.0,100,6.0,5.0,27.0,2122.0,535.0,2341.0,546.0,410.0,384.0,56.0,423.0,4.88,53,1.99,5.97,,39.0,2988,1.63,1.6,4.88,19.0,,5.42,2700.0,8351,8.68,15.55,silver,,,,,,
134,83.0,4590.0,1208.0,50.0,30.0,69,10.0,10.0,39.0,4600.0,1558.0,4889.0,1984.0,584.0,586.0,56.0,623.0,4.97,58,3.82,6.37,0.25,98.0,3192,1.91,1.15,5.73,40.0,0.13,8.4,2805.0,9509,9.68,16.94,silver,,,,,,
135,73.0,3871.0,741.0,78.0,52.0,70,14.0,12.0,76.0,6318.0,1567.0,5709.0,1053.0,359.0,586.0,58.0,529.0,7.04,52,4.82,7.23,0.28,99.0,3381,2.87,2.25,5.19,25.0,0.28,5.47,2676.0,9166,12.33,17.52,silver,,,,,,
136,48.0,360.0,285.0,2.0,,56,,,,167.0,167.0,453.0,264.0,505.0,233.0,46.0,635.0,1.4,46,,2.8,,4.0,1571,,0.29,2.8,4.0,,9.81,1564.0,7036,2.8,8.41,silver,1.0,,,,1.0,
137,69.0,2290.0,625.0,43.0,28.0,73,8.0,5.0,51.0,3942.0,811.0,3770.0,698.0,256.0,441.0,62.0,422.0,5.7,58,3.13,4.81,0.45,99.0,3567,2.91,2.31,4.7,15.0,0.22,4.7,2683.0,8841,10.85,17.22,silver,,,,,,
